Metodo,Limite,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31
Criba,50,0.004000,0.004500,0.003400,0.002400,0.002100,0.004300,0.004300,0.004700,0.002600,0.003100,0.006400,0.006500,0.003800,0.005300,0.006800,0.004000,0.002700,0.004900,0.003000,0.002900,0.003700,0.002900,0.002700,0.005400,0.003200,0.002100,0.019900,0.004700,0.002900,0.004000,0.003100
Secuencial,50,0.009100,0.005000,0.008100,0.005100,0.009000,0.006500,0.007300,0.009000,0.006700,0.007900,0.004900,0.008300,0.006400,0.006600,0.006000,0.008300,0.006000,0.006000,0.005800,0.005200,0.004500,0.004700,0.004500,0.006900,0.004900,0.005700,0.004900,0.006000,0.005900,0.004600,0.006800
Recursivo,50,0.008800,0.006400,0.004300,0.005900,0.004300,0.003100,0.008900,0.005100,0.005400,0.003200,0.007300,0.003800,0.002900,0.010800,0.006100,0.007500,0.005800,0.005300,0.006100,0.005000,0.010800,0.007800,0.007200,0.003600,0.010600,0.004600,0.009900,0.005600,0.005600,0.009500,0.004500
Criba,500,0.032500,0.023100,0.023700,0.023600,0.023500,0.166200,0.048600,0.024500,0.027400,0.035000,0.029400,0.046400,0.029300,0.028600,0.034200,0.054400,0.026600,0.033500,0.029700,0.029600,0.029000,0.027000,0.025500,0.025600,0.034800,0.028600,0.025800,0.024100,0.024200,0.026100,0.023600
Secuencial,500,0.058900,0.073100,0.043300,0.067600,0.059300,0.059400,0.053200,0.049500,0.046400,0.048200,0.057900,0.055300,0.053800,0.049100,0.051500,0.054400,0.059500,0.047400,0.049700,0.052300,0.050200,0.046900,0.046900,0.044000,0.043000,0.050000,0.051100,0.047400,0.052500,0.049500,0.044400
Recursivo,500,0.030100,0.036500,0.038000,0.038000,0.034900,0.037200,0.029900,0.049200,0.040800,0.037000,0.029900,0.022600,0.022000,0.040200,0.040400,0.041600,0.029100,0.036800,0.024700,0.047300,0.039900,0.028000,0.038400,0.027900,0.018100,0.020300,0.013900,0.020200,0.020300,0.016300,0.033000
Criba,5000,0.180400,0.151700,0.199200,0.149900,0.150200,0.148400,0.290300,0.153600,0.148500,0.258700,0.158000,0.164500,0.173100,0.202600,0.170800,0.151900,0.149800,0.147700,0.175800,0.147400,0.190700,0.148800,0.147400,0.160500,0.178800,0.148300,0.216200,0.148500,0.148500,0.150000,0.174700
Secuencial,5000,0.277100,0.243800,0.252600,0.352300,0.256300,0.252000,0.245300,0.248800,0.249300,0.254500,0.273000,0.256000,0.329900,0.259600,0.259100,0.250400,0.261800,0.253100,0.267100,0.306000,0.278100,0.251100,0.251500,0.264700,0.247400,0.254300,0.258100,0.246600,0.368700,0.254000,0.251700
Recursivo,5000,0.423600,0.423300,0.340800,0.426800,0.419900,0.419600,0.424000,0.418800,0.428100,0.475000,0.340500,0.425800,0.426600,0.420100,0.417400,0.426700,0.417200,0.454400,0.413600,0.425900,0.418700,0.416700,0.338900,0.419000,0.407900,0.430900,0.410500,0.485900,0.344700,0.411100,0.405600
Criba,50000,2.645800,2.081000,1.837700,2.620900,2.323700,1.808700,1.865400,1.846600,2.128500,1.872800,2.695400,1.862400,1.883300,1.826400,2.025600,1.826400,3.001400,1.760100,1.830600,2.155700,2.140600,1.881600,2.637900,1.970300,1.902300,2.672700,1.804800,1.849500,2.113100,1.833200,1.879300
Secuencial,50000,4.007400,3.476600,4.291800,3.677700,3.547900,3.658000,3.561900,3.546400,4.174700,3.619300,3.689800,3.812200,3.770200,3.810300,3.948900,3.558800,3.556700,3.625900,3.702000,3.605400,4.407900,4.188200,3.588700,3.730200,3.623800,3.683200,4.021600,3.558000,3.624600,3.644100,3.572700
Recursivo,50000,11.713600,13.257000,13.551800,9.748400,4.612100,13.170100,13.761900,12.867800,13.073900,12.769700,13.291100,13.141400,11.556000,13.137600,9.373600,12.826200,12.909500,12.846800,5.888900,12.732300,12.917800,12.692600,14.490800,17.183600,15.163400,8.623400,13.294000,13.523400,6.880600,10.074200,5.567500
Criba,500000,21.737600,21.237000,21.651400,21.987600,23.804400,21.429700,22.261000,22.314900,24.662000,22.214700,21.409600,21.422500,20.946500,21.195800,21.558500,21.048100,20.646500,21.104900,21.864700,21.870500,23.002500,22.550500,21.715700,21.853200,21.572800,21.697200,25.674100,22.190100,21.636600,21.040600,21.094900
Secuencial,500000,58.840600,58.514000,57.009300,58.454100,59.280300,57.808300,58.822500,58.131700,57.791000,57.655000,60.130600,61.839600,59.243900,58.579600,58.990700,58.035200,59.491900,58.938800,58.187200,58.396600,59.493600,59.198800,61.609600,59.657600,58.597500,58.329900,60.679300,60.759200,57.679000,56.775300,57.661300
Recursivo,500000,347.896900,314.171700,317.364500,332.479900,347.048300,339.255100,293.185200,337.701500,305.412800,307.069600,227.402700,340.910800,301.166000,318.651300,334.256100,318.411300,314.614800,133.918100,317.727800,315.713200,201.156400,312.266000,329.656500,300.283200,296.790500,296.180400,338.352100,240.483200,282.048100,346.930300,337.899400
Criba,5000000,230.510200,228.528100,228.499600,229.939200,230.444700,228.917900,227.199000,226.852300,231.009100,229.146200,228.196200,229.382600,228.302900,231.062600,230.220500,229.674200,228.923900,228.157300,230.319400,231.201700,227.754100,228.493100,227.935800,227.735600,230.959800,412.197200,462.348700,472.784300,568.967500,467.068400,436.252900
