rr#r,rg#rrgg,rbb#rrbb,wwrrbbww#wrbrw,bbyyrrbb#byr,bbwwrrwwbb#wrb,wgrrbbyyw#wbgry,rybwg#rryybbwwgg,rrwwbbyyggrr#gybwgybw,rrwybwrr#wwyybbw
0.006911,0.031788,0.018495,0.082902,0.049226,0.087862,0.373530,2.370337,0.146717,0.593256
0.003483,0.030580,0.018053,0.081666,0.048327,0.064810,0.369162,2.356370,0.132562,0.558116
0.002953,0.030088,0.017902,0.084183,0.048095,0.064544,0.405987,2.276203,0.145862,0.652335
0.002830,0.030063,0.017927,0.114999,0.048078,0.064071,0.367360,2.276265,0.112444,0.622045
0.002838,0.029986,0.017906,0.081400,0.048071,0.064594,0.496875,2.346482,0.174237,0.578928
0.002828,0.029922,0.017866,0.081381,0.048069,0.064612,0.368059,2.273422,0.112399,0.574973
0.002848,0.029912,0.017823,0.081350,0.048094,0.064548,0.368568,2.274830,0.112569,0.545366
0.002834,0.029905,0.017831,0.081041,0.048081,0.064392,0.420191,2.271255,0.142296,0.565271
0.002840,0.029880,0.017864,0.081317,0.048023,0.064495,0.368324,2.272007,0.113028,0.548687
0.002831,0.029983,0.017803,0.081373,0.048038,0.064482,0.368176,2.268701,0.166523,0.544151
0.002828,0.029948,0.017840,0.081133,0.048056,0.064525,0.419074,2.270480,0.112810,0.561739
0.002840,0.029959,0.017814,0.081319,0.050910,0.064418,0.396464,2.272934,0.113722,0.529680
0.002832,0.029960,0.017835,0.081402,0.081501,0.065935,0.447984,2.271033,0.113707,0.532727
0.002832,0.029929,0.017808,0.081201,0.048069,0.064478,0.368151,2.270289,0.149945,0.530380
0.002840,0.029838,0.017845,0.104869,0.048082,0.064544,0.395197,2.269792,0.115268,0.532515
0.002824,0.029938,0.017870,0.094529,0.048033,0.086972,0.422953,2.271589,0.115111,0.529543
0.002830,0.029906,0.017802,0.081069,0.048121,0.077449,0.367755,2.274335,0.116026,0.532299
0.002826,0.029965,0.017866,0.081230,0.048101,0.064401,0.430454,2.471312,0.154277,0.530134
0.002845,0.029802,0.017881,0.081109,0.048114,0.064390,0.368014,2.530787,0.147631,0.532304
0.002838,0.030015,0.017885,0.081023,0.048074,0.064478,0.368043,2.804430,0.115674,0.529963
0.002819,0.029810,0.017785,0.081210,0.048034,0.064474,0.445310,2.812566,0.115952,0.532480
0.002843,0.029931,0.017832,0.081056,0.048147,0.064362,0.367994,2.636893,0.116742,0.530213
0.002827,0.029760,0.017851,0.081286,0.048083,0.064425,0.479378,2.594655,0.150520,0.566216
0.002819,0.029972,0.017836,0.081574,0.048046,0.064252,0.395941,2.497610,0.116454,0.534892
0.002766,0.029828,0.017872,0.081354,0.048161,0.064453,0.472621,2.521274,0.134658,0.532601
0.002826,0.033810,0.017805,0.081372,0.048118,0.064441,0.402851,2.488719,0.131135,0.532162
0.002828,0.063588,0.017844,0.132940,0.047994,0.064513,0.367781,2.497783,0.118729,0.529946
0.002808,0.029903,0.017894,0.081460,0.048083,0.064487,0.434014,2.492935,0.117081,0.546411
0.002818,0.029958,0.017854,0.081304,0.047888,0.064569,0.367794,2.611044,0.115765,0.529404
0.002829,0.029850,0.017889,0.081324,0.048059,0.064525,0.439904,2.523368,0.115718,0.532680
0.002805,0.029914,0.017837,0.081385,0.048051,0.102509,0.376860,2.786270,0.147104,0.529968
